id,label,realizationOf
shapeQualifiedMinCountLODStatsDetectorSHACLQualifiedMinCount-v1,sh:qualifiedMinCount detector (LODStats) v1,shapeQualifiedMinCountDetectorSHACLQualifiedMinCount
shapePropertyLODStatsDetectorSHACLProperty-v1,sh:property detector (LODStats) v1,shapePropertyDetectorSHACLProperty
stringUniqueLangLODStatsDetectorSHACLUniqueLang-v1,sh:uniqueLang detector (LODStats) v1,stringUniqueLangDetectorSHACLUniqueLang
logicalDisjunctionLODStatsDetectorSHACLOr-v1,sh:or detector (LODStats) v1,logicalDisjunctionDetectorSHACLOr
propertyPairDisjointLODstatsDetectorSHACLDisjoint-v1,sh:disjoint detector (LODStats) v1,propertyPairDisjointDetectorSHACLDisjoint
propertyPairLessThanOrEqualsLODStatsDetectorSHACLLessThanOrEquals-v1,sh:lessThanOrEquals detector (LODStats) v1,propertyPairLessThanOrEqualsDetectorSHACLLessThanOrEquals
cardinalityMaxCountLODStatsDetectorSHACLMaxCount-v1,sh:maxCount detector (LODStats) v1,cardinalityMaxCountDetectorSHACLMaxCount
otherIgnoredPropertiesLODStatsDetectorSHACLIgnoredProperties-v1,sh:ignoredProperties detector (LODStats) v1,otherIgnoredPropertiesDetectorSHACLIgnoredProperties
logicalNegationLODStatsDetectorSHACLNot-v1,sh:not detector (LODStats) v1,logicalNegationDetectorSHACLNot
propertyPairEqualsLODStatsDetectorSHACLEquals-v1,sh:equals detector (LODStats) v1,propertyPairEqualsDetectorSHACLEquals
logicalConjunctionLODStatsDetectorSHACLAnd-v1,sh:and detector (LODStats) v1,logicalConjunctionDetectorSHACLAnd
valueTypeDatatypeLODStatsDetectorSHACLDatatype-v1,sh:datatype detector (LODStats) v1,valueTypeDatatypeDetectorSHACLDatatype
valueTypeClassLODStatsDetectorSHACLClass-v1,sh:class detector (LODStats) v1,valueTypeClassDetectorSHACLClass
stringMinLengthLODStatsDetectorSHACLMinLength-v1,sh:minLength detector (LODStats) v1,stringMinLengthDetectorSHACLMinLength
valueRangeMinExclusiveLODStatsDetectorSHACLMinExclusive-v1,sh:minExclusive detector (LODStats) v1,valueRangeMinExclusiveDetectorSHACLMinExclusive
cardinalityMinCountLODStatsDetectorSHACLMinCount-v1,sh:minCount detector (LODStats) v1,cardinalityMinCountDetectorSHACLMinCount
valueRangeMinInclusiveLODStatsDetectorSHACLMinInclusive-v1,sh:minInclusive detector (LODStats) v1,valueRangeMinInclusiveDetectorSHACLMinInclusive
otherValueInLODStatsDetectorSHACLValueIn-v1,sh:in detector (LODStats) v1,otherValueInDetectorSHACLValueIn
otherHasValueLODStatsDetectorSHACLHasValue-v1,sh:hasValue detector (LODStats) v1,otherHasValueDetectorSHACLHasValue
logicalExclusiveDisjunctionLODStatsDetectorSHACLXone-v1,sh:xone detector (LODStats) v1,logicalExclusiveDisjunctionDetectorSHACLXone
targetClassTargetLODStatsDetectorSHACLTargetClass-v1,sh:targetClass detector (LODStats) v1,targetClassTargetDetectorSHACLTargetClass
otherClosedLODStatsDetectorSHACLClosed-v1,sh:closed detector (LODStats) v1,otherClosedDetectorSHACLClosed
targetNodeTargetLODStatsDetectorSHACLTargetNode-v1,sh:targetNode detector (LODStats) v1,targetNodeTargetDetectorSHACLTargetNode
stringLanguageInLODStatsDetectorSHACLLanguageIn-v1,sh:languageIn detector (LODStats) v1,stringLanguageInDetectorSHACLLanguageIn
targetObjectsOfTargetLODStatsDetectorSHACLTargetObjectsOf-v1,sh:targetObjectsOf detector (LODStats) v1,targetObjectsOfTargetDetectorSHACLTargetObjectsOf
propertyPairLessThanLODStatsDetectorSHACLLessThan-v1,sh:lessThan detector (LODStats) v1,propertyPairLessThanDetectorSHACLLessThan
stringPatternLODStatsDetectorSHACLPattern-v1,sh:pattern detector (LODStats) v1,stringPatternDetectorSHACLPattern
shapeNodeLODStatsDetectorSHACLNode-v1,sh:node detector (LODStats) v1,shapeNodeDetectorSHACLNode
valueRangeMaxInclusiveLODStatsDetectorSHACLMaxInclusive-v1,sh:maxInclusive detector (LODStats) v1,valueRangeMaxInclusiveDetectorSHACLMaxInclusive
targetSubjectsOfTargetLODStatsDetectorSHACLTargetSubjectsOf-v1,sh:targetSubjectsOf detector (LODStats) v1,targetSubjectsOfTargetDetectorSHACLTargetSubjectsOf
stringMaxLengthLODStatsDetectorSHACLMaxLength-v1,sh:maxLength detector (LODStats) v1,stringMaxLengthDetectorSHACLMaxLength
valueRangeMaxExclusiveLODStatsDetectorSHACLMaxExclusive-v1,sh:maxExclusive detector (LODStats) v1,valueRangeMaxExclusiveDetectorSHACLMaxExclusive
shapeQualifiedMaxCountLODStatsDetectorSHACLQualifiedMaxCount-v1,sh:qualifiedMaxCount detector (LODStats) v1,shapeQualifiedMaxCountDetectorSHACLQualifiedMaxCount
shapeQualifiedValueLODStatsDetectorSHACLQualifiedValue-v1,sh:qualifiedValue detector (LODStats) v1,shapeQualifiedValueDetectorSHACLQualifiedValue
