id,label,term,realizationOf
shapeQualifiedMinCountSHACLQualifiedMinCount,SHACL qualified min count,sh:qualifiedMinCount,shapeQualifiedMinCount
shapePropertySHACLProperty,SHACL property,sh:property,shapeProperty
stringUniqueLangSHACLUniqueLang,SHACL unique language,sh:uniqueLang,stringUniqueLang
logicalDisjunctionSHACLOr,SHACL disjunction (or),sh:or,logicalDisjunction
propertyPairDisjointSHACLDisjoint,SHACL disjoint,sh:disjoint,propertyPairDisjoint
propertyPairLessThanOrEqualsSHACLLessThanOrEquals,SHACL less than or equals,sh:lessThanOrEquals,propertyPairLessThanOrEquals
cardinalityMaxCountSHACLMaxCount,SHACL max count,sh:maxCount,cardinalityMaxCount
otherIgnoredPropertiesSHACLIgnoredProperties,SHACL ignored properties,sh:ignoredProperties,otherIgnoredProperties
logicalNegationSHACLNot,SHACL not,sh:not,logicalNegation
propertyPairEqualsSHACLEquals,SHACL equals,sh:equals,propertyPairEquals
logicalConjunctionSHACLAnd,SHACL conjunction (and),sh:and,logicalConjunction
valueTypeDatatypeSHACLDatatype,SHACL datatype,sh:datatype,valueTypeDatatype
valueTypeClassSHACLClass,SHACL class,sh:class,valueTypeClass
stringMinLengthSHACLMinLength,SHACL min length,sh:minLength,stringMinLength
valueRangeMinExclusiveSHACLMinExclusive,SHACL min exclusive,sh:minExclusive,valueRangeMinExclusive
cardinalityMinCountSHACLMinCount,SHACL min count,sh:minCount,cardinalityMinCount
valueRangeMinInclusiveSHACLMinInclusive,SHACL min inclusive,sh:minInclusive,valueRangeMinInclusive
otherValueInSHACLValueIn,SHACL value-in,sh:in,otherValueIn
otherHasValueSHACLHasValue,SHACL has-value,sh:hasValue,otherHasValue
logicalExclusiveDisjunctionSHACLXone,SHACL exclusive disjunction (xor),sh:xone,logicalExclusiveDisjunction
targetClassTargetSHACLTargetClass,SHACL target class,sh:targetClass,targetClassTarget
otherClosedSHACLClosed,SHACL closed,sh:closed,otherClosed
targetNodeTargetSHACLTargetNode,SHACL target node,sh:targetNode,targetNodeTarget
stringLanguageInSHACLLanguageIn,SHACL language-in,sh:languageIn,stringLanguageIn
targetObjectsOfTargetSHACLTargetObjectsOf,SHACL target objects of,sh:targetObjectsOof,targetObjectsOfTarget
propertyPairLessThanSHACLLessThan,SHACL less than,sh:lessThan,propertyPairLessThan
stringPatternSHACLPattern,SHACL pattern,sh:pattern,stringPattern
shapeNodeSHACLNode,SHACL node,sh:node,shapeNode
valueRangeMaxInclusiveSHACLMaxInclusive,SHACL max inclusive,sh:maxInclusive,valueRangeMaxInclusive
targetSubjectsOfTargetSHACLTargetSubjectsOf,SHACL target subjects of,sh:targetSubjectsOf,targetSubjectsOfTarget
stringMaxLengthSHACLMaxLength,SHACL max length,sh:maxLength,stringMaxLength
valueRangeMaxExclusiveSHACLMaxExclusive,SHACL max exclusive,sh:maxExclusive,valueRangeMaxExclusive
shapeQualifiedMaxCountSHACLQualifiedMaxCount,SHACL qualified max count,sh:qualifiedMaxCount,shapeQualifiedMaxCount
shapeQualifiedValueSHACLQualifiedValue,SHACL qualified value,sh:qualifiedValue,shapeQualifiedValue
